lc_time,T_in1,T_in2,T_wall_in,T_wall_out,T_outside,T_outside_PT,T_chamber,T_chamber1,T_leaf1,T_leaf2,T_leaf_in,Wind,T_dew,Air_inflow,Air_outflow,nr_time,T_leaf_IR,V_leaf_IR,Rn_above_leaf,Rn_below_leaf,Rn_beside_leaf,RnV_above_leaf,RnV_below_leaf,RnV_beside_leaf,sens_timefirst,sens_timelast,water_flow_avg,water_flow_std,water_flow_n,pow_timefirst,pow_timelast,fan_power_avg,fan_power_std,fan_power_n,Comment...................................................,P_w_in,g_twmeas,lin_T_l,Hl_ball,MU_H_l,MUc_E_l,Le,C_wa,Re,T_in,F_in_mola,D_va,PS_H_l,a_sh,epsilon_l,epsilon,h_c,rb_ball,c_pa,P_a,Elmeas,nu_a,T_a,alpha_l,Re_c,T_r,lambda_E,T_w,g_tw,Elmolmeas,P_r,Rn_leaf,Tl_ball,F_in_v,H_l,MU_E_l,T0,rbstar_ball,GP_T_l,C_wl,R_s,Hlmeas,MUc_H_l,g,L_E,g_bw,M_w,c_pv,M_N2,g_swmeas,GPRll_R_ll,c_pmol,h_cmeas,k_a,F_in_molw,lin_E_l,P_wa,rho_a,PS_T_l,R_ll,sigm,GPRll_E_l,L_A,PM_H_l,E_lmol,GP_H_l,GPRll_T_l,M_O2,GPRll_H_l,GP_E_l,rs_ball,lin_H_l,alpha_a,PM_E_l,Rll_ball,L_l,F_out_molw,P_wl,Pr,El_ball,F_in_va_n,g_sw,Tlmeas,a_s,E_l,PS_E_l,M_air,v_w,lin_R_ll,Nu,R_mol,T_l
2014-03-27 11:22:28,15.3,15.41,21.98,21.97,21.88,25.24,22.0,21.67,20.29,21.07,18.41,0.8333,10.21,6.827,3.491,2014-03-27 11:22:29,20.3,-0.07058,9.835,-3.912,-13.66,-0.01177,0.004074,0.01766,2014-03-27 11:22:19,2014-03-27 11:22:26,4.825,0.1412,100.0,2014-03-27 11:21:28,2014-03-27 11:22:27,1.195,0.0003885,54.0,"Black leaf, silver perforated alu (35.4-1), varying wind speed",1100.2175587945433,0.012916525911461064,291.44806419655885,-158.01617958059978,-86.97010361404153,173.94020722808307,0.888521516899909,0.48385501002418724,1637.8288072853545,288.45,0.005076441489513604,2.4377349999999995e-05,-179.88192168203219,2.0,1.0,0.622,21.21238622422031,1.2834044339481,1010.0,101325.0,218.91203703703704,1.5263499999999997e-05,295.15,0.0,3000.0,273.15,2450000.0,295.15,0.013161296846508585,0.004963991769547325,101325.0,13.747,291.24822484398027,0.0001214757197970707,-167.44168933890978,86.97010361404153,273.15,0.7210137269371348,290.90997910417445,0.8500718434493574,0.0,-158.93911241467686,-173.94020722808307,9.81,44000.0,0.019167799072353147,0.018,1864.0,0.028,0.03960495198523654,-48.39494302817075,29.2,22.13636663157075,0.025818259999999996,5.5726636934656494e-05,200.22857983860953,1187.388135047154,1.1855428919758748,290.90997910417445,-45.11539152205057,5.67e-08,202.68863900387572,0.0009,-119.48937249787801,0.004819888454897051,-179.88192168203219,290.90997910417445,0.032,-154.29369597570496,179.88192168203219,0.5952380952380952,-157.0537840797242,2.1659799999999992e-05,119.48937249787801,-44.611052119280316,0.03,6.019422952724909e-05,2058.1947392906304,0.71,202.62723169988027,0.00011378333333333333,0.042,291.56,1.0,212.55708086096,179.88192168203219,0.02897,0.8333,-43.1747957588858,24.648120621862564,8.314472,291.20320948880976
2014-03-27 13:01:58,15.54,15.65,22.22,22.26,22.22,25.53,22.22,21.95,20.72,21.46,18.72,1.313,10.21,6.427,3.324,2014-03-27 13:02:01,20.41,-0.06664,10.02,-3.833,-16.85,-0.01199,0.003993,0.0218,2014-03-27 13:01:48,2014-03-27 13:01:55,5.543,0.16,100.0,2014-03-27 13:00:59,2014-03-27 13:01:58,1.181,0.0004875,54.0,varying wind speed,1100.2175587945433,0.014515805247716578,291.6708909542558,-196.9602286731697,-100.9033757869222,201.80675157384437,0.8885180046152968,0.49130615622451185,2577.3229603554205,288.69,0.004779008269093882,2.4410130000000004e-05,-208.51037436124895,2.0,1.0,0.622,25.214682733817444,1.0224259489178487,1010.0,101325.0,251.48796296296297,1.52833e-05,295.37,0.0,3000.0,273.15,2450000.0,295.15,0.01477903859274424,0.005702674897119342,101325.0,13.853,291.4955724045667,0.0001144534993207364,-198.7105328657526,100.9033757869222,273.15,0.5743966005156453,291.235298473861,0.861516767754556,0.0,-204.77597736798882,-201.80675157384437,9.81,44000.0,0.02280300139325002,0.018,1864.0,0.028,0.03994160648245651,-44.75589947823551,29.2,29.25371105256983,0.025833308,5.2461563729169076e-05,227.21341569666748,1206.5720593834792,1.1845751887763651,291.235298473861,-42.57630709659634,5.67e-08,229.09256619238988,0.0009,-139.64980328041585,0.005471356915245966,-208.51037436124903,291.235298473861,0.032,-184.33666671415435,208.51037436124903,0.5952380952380952,-186.54372197246533,2.1688839999999997e-05,139.64980328041585,-41.83566385580093,0.03,5.7593971136576485e-05,2087.5270389944444,0.71,238.7958925289712,0.00010711666666666666,0.042,291.87,1.0,241.2868399623472,208.51037436124898,0.02897,1.313,-40.66969372420297,29.281595760578682,8.314472,291.4296265484783
2014-03-27 14:04:25,15.68,15.8,22.41,22.4,22.37,25.69,22.43,22.17,21.05,21.76,18.95,1.796,10.21,6.251,3.274,2014-03-27 14:04:23,20.36,-0.06849,10.02,-3.781,-17.83,-0.01198,0.003939,0.02307,2014-03-27 14:04:10,2014-03-27 14:04:17,6.124,0.1336,100.0,2014-03-27 14:03:24,2014-03-27 14:04:23,1.185,0.0003885,54.0,varying wind speed,1100.2175587945433,0.015775878747664236,291.8881905028873,-228.70799838149105,-113.69916074921088,227.39832149842172,0.8885146607684821,0.49683222443156644,3521.0623309066677,288.83,0.004648137652109204,2.4441419999999997e-05,-234.76342693638506,2.0,1.0,0.622,28.948426507975416,0.8742005192655671,1010.0,101325.0,277.8481481481481,1.5302199999999997e-05,295.58,0.0,3000.0,273.15,2450000.0,295.15,0.01613478970698364,0.006300411522633744,101325.0,13.801,291.7332889998213,0.00011137323488831186,-227.46563226812577,113.69916074921088,273.15,0.49112388722784667,291.5251435664092,0.8728475426254433,0.0,-221.32033125215173,-227.39832149842172,9.81,44000.0,0.026199716144441405,0.018,1864.0,0.028,0.03965176444959893,-41.50338446351014,29.2,31.79889816841244,0.025847672,5.102493151875461e-05,251.96334965121852,1221.0107181453884,1.1836699001797566,291.52514356640927,-40.085896309579994,5.67e-08,253.44134394231074,0.0009,-158.36475894995004,0.006066928085662742,-234.76342693638503,291.5251435664092,0.032,-211.93795947880062,234.763426936385,0.5952380952380952,-213.74415181722458,2.1716559999999992e-05,158.36475894995004,-39.1616746251276,0.03,5.6695301889124984e-05,2116.590410178861,0.71,267.8696730066216,0.00010418333333333334,0.042,292.09999999999997,1.0,267.5515285777269,234.76342693638506,0.02897,1.796,-38.21919783399441,33.5988786626224,8.314472,291.65119177608045
2014-03-27 15:55:10,15.74,15.85,22.4,22.42,22.36,25.61,22.42,22.18,21.22,21.85,19.06,2.299,10.21,6.14,3.202,2014-03-27 15:55:11,19.58,-0.09654,9.917,-3.843,-17.14,-0.01187,0.004003,0.02218,2014-03-27 15:55:01,2014-03-27 15:55:08,6.583,0.171,100.0,2014-03-27 15:54:09,2014-03-27 15:55:08,1.169,0.0004755,55.0,varying wind speed,1100.2175587945433,0.016909294225191294,291.9791471145244,-250.78317750131828,-124.4282191354904,248.85643827098082,0.8885148198051301,0.5014821512697619,4507.460150444734,288.89,0.004565599933442732,2.443993e-05,-256.75678729999544,2.0,1.0,0.622,32.84168596849466,0.7726712279140986,1010.0,101325.0,298.67314814814813,1.53013e-05,295.57,0.0,3000.0,273.15,2450000.0,295.15,0.017405569308638052,0.006772633744855968,101325.0,13.76,291.8418765257014,0.00010941828791356697,-250.39339897464743,124.4282191354904,273.15,0.4340849595023026,291.6609925948031,0.8783497849246116,0.0,-227.723347901309,-248.85643827098082,9.81,44000.0,0.029723554903002967,0.018,1864.0,0.028,0.03922226556103864,-39.975603154607136,29.2,33.88740296150418,0.025846987999999998,5.011887370423186e-05,273.0088000471053,1232.3966438474815,1.1836597242099485,291.6609925948031,-38.88477217868524,5.67e-08,274.24516425675404,0.0009,-174.75686894400124,0.0065595957177619,-256.75678729999555,291.6609925948031,0.032,-234.26956110214684,256.75678729999555,0.5952380952380952,-235.85932564770985,2.1715239999999994e-05,174.75686894400124,-37.938035323089935,0.03,5.621424407460223e-05,2130.712028484978,0.71,288.72121282440986,0.00010233333333333333,0.042,292.21,1.0,289.27817115329987,256.75678729999544,0.02897,2.299,-37.14947439939495,38.11858383866004,8.314472,291.7578723398237
2014-03-27 17:01:01,15.9,16.02,22.43,22.48,22.4,25.81,22.45,22.22,21.42,21.96,19.24,2.995,10.21,5.851,3.136,2014-03-27 17:01:03,20.03,-0.08036,8.408,-3.625,-16.34,-0.01006,0.003776,0.02114,2014-03-27 17:00:38,2014-03-27 17:00:48,7.255,0.1174,100.0,2014-03-27 17:00:04,2014-03-27 17:01:03,1.144,0.0,54.0,varying wind speed,1100.2175587945433,0.018578799912449078,292.1382802234488,-275.29343108147077,-137.10014309818678,274.20028619637355,0.8885143427533504,0.5098359330862241,5871.014113957136,289.04999999999995,0.004350704431689483,2.4444399999999996e-05,-282.68693744869233,2.0,1.0,0.622,37.887381479566635,0.6769643722300172,1010.0,101325.0,329.162037037037,1.5303999999999998e-05,295.59999999999997,0.0,3000.0,273.15,2450000.0,295.15,0.018879619777129472,0.007463991769547325,101325.0,12.033,292.014425027876,0.00010432589203131438,-277.6458657875155,137.10014309818678,273.15,0.38031706305057145,291.86937879566636,0.8876001918397971,0.0,-258.9579210031423,-274.20028619637355,9.81,44000.0,0.034296323113884725,0.018,1864.0,0.028,0.04053975405026704,-37.62790387749005,29.2,40.336124766844854,0.025849039999999997,4.77598583132672e-05,297.6088978681656,1253.0533040747323,1.1834484896693145,291.8693787956664,-36.877343878462625,5.67e-08,298.5938909683976,0.0009,-194.46108852746642,0.007132045570656614,-282.6869374486922,291.86937879566636,0.032,-260.9659870909075,282.6869374486923,0.5952380952380952,-262.3109954991108,2.1719199999999994e-05,194.46108852746642,-35.990827945969954,0.03,5.44774509058598e-05,2154.4656569807466,0.71,311.28425902744425,9.751666666666667e-05,0.042,292.39,1.0,314.52320966595664,282.68693744869233,0.02897,2.995,-35.29790236905494,43.97151477915617,8.314472,291.93590584853087
2014-03-27 19:00:22,15.88,15.99,22.4,22.38,22.21,25.57,22.46,22.24,21.53,22.03,19.38,3.831,10.2,5.75,3.057,2014-03-27 19:00:26,19.2,-0.1106,8.123,-3.345,-14.0,-0.009719,0.003485,0.01811,2014-03-27 19:00:07,2014-03-27 19:00:17,8.006,0.1148,100.0,2014-03-27 18:59:24,2014-03-27 19:00:23,1.155,0.000413,55.0,varying wind speed,1099.4373261154965,0.02049112271311138,292.2884059975442,-298.653118688846,-150.0927681919222,300.1855363838444,0.8885141837748594,0.5171314176761229,7509.359747531838,289.03,0.004275602543533503,2.444588999999999e-05,-309.23043931238806,2.0,1.0,0.622,43.55472707618359,0.5985606332165926,1010.0,101325.0,363.2351851851852,1.5304899999999996e-05,295.60999999999996,0.0,3000.0,273.15,2450000.0,295.15,0.020337350803390334,0.008236625514403292,101325.0,11.468,292.170681856347,0.00010251712579771761,-305.2767968271837,150.0927681919222,273.15,0.3362700186610071,292.0600932496775,0.8964906945398647,0.0,-275.49401642321226,-300.1855363838444,9.81,44000.0,0.03943048359367221,0.018,1864.0,0.028,0.04266114802134424,-35.474884688152784,29.2,44.723054614158066,0.025849723999999994,4.6901777376800434e-05,322.8851847899596,1271.0268358760654,1.183329185544299,292.06009324967755,-34.96187798256767,5.67e-08,323.6716438959194,0.0009,-215.15970404951176,0.007715162694098396,-309.23043931238806,292.0600932496775,0.032,-288.1967592077666,309.23043931238806,0.5952380952380952,-289.342240469696,2.172051999999999e-05,215.15970404951176,-34.22449106101453,0.03,5.4314740339763394e-05,2177.3094932856334,0.71,332.8776097498606,9.583333333333334e-05,0.042,292.53,1.0,340.23867480973917,309.23043931238806,0.02897,3.831,-33.54294432026354,50.54761173796316,8.314472,292.105480314993
2014-03-28 10:08:04,15.46,15.57,21.81,21.91,21.85,25.2,21.85,21.67,20.98,21.44,18.93,3.804,10.2,6.147,3.245,2014-03-28 10:08:10,19.58,-0.09655,8.239,-2.96,-12.37,-0.009857,0.003085,0.016,2014-03-28 10:07:52,2014-03-28 10:08:02,7.736,0.1666,100.0,2014-03-28 10:07:07,2014-03-28 10:08:06,1.159,0.0001872,55.0,New day,1099.4373261154965,0.020744330681967477,291.8674921903285,-279.77570433859,-143.0462064987869,286.0924129975738,0.8885239170601515,0.5114860702131689,7483.27868852459,288.60999999999996,0.004570805014800078,2.4355000000000003e-05,-294.827166321881,2.0,1.0,0.622,43.397162495899416,0.6006811065766153,1010.0,101325.0,350.9851851851852,1.5249999999999998e-05,295.0,0.0,3000.0,273.15,2450000.0,295.15,0.02027695211206091,0.007958847736625516,101325.0,11.199000000000002,291.7666619271326,0.00010943600788082367,-286.07463927636127,143.0462064987869,273.15,0.3374612958295592,291.60315157298896,0.8755670947099938,0.0,-247.50133347452328,-286.0924129975738,9.81,44000.0,0.03920407454330544,0.018,1864.0,0.028,0.04405598975347244,-40.62635417453501,29.2,42.380365320979784,0.025807999999999998,5.0140039223511704e-05,310.1100019101705,1254.5572997073411,1.1858488566462824,291.60315157298896,-39.49156001331687,5.67e-08,311.0696256504101,0.0009,-206.12494664380822,0.0073824534986321935,-294.82716632188095,291.60315157298896,0.032,-270.4432714758751,294.82716632188095,0.5952380952380952,-271.8839008719811,2.1639999999999996e-05,206.12494664380822,-38.785750814444896,0.03,5.7303002186474665e-05,2123.5695136293252,0.71,318.56145515307423,0.00010245000000000001,0.042,292.08,1.0,325.56619928967973,294.82716632188095,0.02897,3.804,-38.226101038188716,50.446174631005206,8.314472,291.70399373111786
2014-03-28 11:29:49,15.71,15.83,22.23,22.21,22.15,25.57,22.24,22.08,21.38,21.84,19.29,4.335,10.2,5.858,3.204,2014-03-28 11:29:51,19.47,-0.1005,8.058,-3.227,-12.36,-0.009641,0.003363,0.01599,2014-03-28 11:29:27,2014-03-28 11:29:37,7.984,0.08737,100.0,2014-03-28 11:28:49,2014-03-28 11:29:48,1.174,0.0004692,55.0,New day,1099.4373261154965,0.020626948587332092,292.19900805117624,-305.1138186849603,-155.1876685925348,310.3753371850696,0.8885176857844002,0.5160425390410092,8508.28584700133,288.85999999999996,0.004355909513046828,2.4413109999999996e-05,-319.6261254406378,2.0,1.0,0.622,46.81574879142571,0.5626906197583302,1010.0,101325.0,362.23703703703706,1.5285099999999997e-05,295.39,0.0,3000.0,273.15,2450000.0,295.15,0.021087258600374203,0.008213991769547327,101325.0,11.285,292.0868469344953,0.0001043812343713659,-314.41377018828643,155.1876685925348,273.15,0.3161183257069271,291.97633970734245,0.8926291174219683,0.0,-286.6645775742825,-310.3753371850696,9.81,44000.0,0.04235049075065617,0.018,1864.0,0.028,0.04021265909557349,-36.42091722155503,29.2,48.58721653801417,0.025834675999999997,4.778271510839946e-05,333.2815148342928,1267.4066085755358,1.1842264816452746,291.97633970734245,-35.79220447307432,5.67e-08,334.0400919972528,0.0009,-224.21000685094944,0.007941178563749375,-319.62612544063785,291.97633970734245,0.032,-297.61917477569773,319.62612544063785,0.5952380952380952,-298.77735494319296,2.1691479999999992e-05,224.21000685094944,-35.17251866726838,0.03,5.517530770099206e-05,2167.3855815139727,0.71,340.2863373522738,9.763333333333333e-05,0.042,292.44,1.0,350.2059746613475,319.6261254406378,0.02897,4.335,-34.50415989110025,54.36385049856137,8.314472,292.03200853019496
2014-03-28 13:47:28,15.8,15.9,22.35,22.28,22.21,25.57,22.31,22.16,21.54,21.99,19.46,5.102,10.2,5.858,3.131,2014-03-28 13:47:29,19.5,-0.09967,6.985,-3.328,-12.71,-0.008357,0.003468,0.01643,2014-03-28 13:47:18,2014-03-28 13:47:27,8.505,0.1932,100.0,2014-03-28 13:46:29,2014-03-28 13:47:28,1.186,0.0004914,54.0,Reduced head difference (transpiration seemed low),1099.4373261154965,0.021710390511429326,292.3479759830503,-323.56295570757356,-165.74378657451797,331.4875731490359,0.8885165704889625,0.5203741511027546,10009.547850425732,288.95,0.004355909513046828,2.442354e-05,-341.14723087654494,2.0,1.0,0.622,51.57029918898142,0.5186734277529524,1010.0,101325.0,385.875,1.5291399999999997e-05,295.46,0.0,3000.0,273.15,2450000.0,295.15,0.022104788710353193,0.00875,101325.0,10.313,292.2311346134615,0.00010441375639273759,-337.0950586206309,165.74378657451797,273.15,0.29138956615334405,292.152405936735,0.9010406980131351,0.0,-297.53292970250266,-331.4875731490359,9.81,44000.0,0.04666455220397489,0.018,1864.0,0.028,0.04059866501914648,-34.43122959768956,29.2,52.198759596929875,0.025839463999999996,4.778271510839946e-05,353.7641410126616,1278.347963818028,1.1838976362685905,292.152405936735,-33.986754634589715,5.67e-08,354.39641096630555,0.0009,-241.27392253033537,0.008414553588553713,-341.147230876545,292.152405936735,0.032,-319.965181368616,341.147230876545,0.5952380952380952,-320.97601927479053,2.1700719999999995e-05,241.27392253033537,-33.54036860233725,0.03,5.565771510839946e-05,2189.0059831624485,0.71,357.10332430987904,9.763333333333333e-05,0.042,292.60999999999996,1.0,371.08181325521855,341.14723087654494,0.02897,5.102,-32.78812173787008,59.87388034323942,8.314472,292.19169378574543
2014-03-28 15:04:55,15.76,15.86,22.38,22.34,22.2,25.53,22.37,22.21,21.55,22.01,19.44,4.611,10.2,5.855,3.163,2014-03-28 15:04:56,19.39,-0.1037,7.228,-3.377,-12.89,-0.008648,0.003519,0.01667,2014-03-28 15:04:45,2014-03-28 15:04:55,8.219,0.1147,100.0,2014-03-28 15:03:56,2014-03-28 15:04:55,1.182,0.0003857,55.0,Reduced head difference (transpiration seemed low),1099.4373261154965,0.020905966975729152,292.32215202015215,-315.7656328307312,-160.56249522359334,321.12499044718663,0.8885156152793331,0.5178601815242487,9043.067831180377,288.90999999999997,0.004353678763893681,2.4432479999999995e-05,-330.59589938802486,2.0,1.0,0.622,48.54766158086761,0.5455903310808399,1010.0,101325.0,372.8990740740741,1.52968e-05,295.52,0.0,3000.0,273.15,2450000.0,295.15,0.021473438658466678,0.008455761316872428,101325.0,10.605,292.20541872864266,0.00010434583717185966,-326.6644019791056,160.56249522359334,273.15,0.306511421955528,292.1151408510445,0.8991350321687053,0.0,-282.134206523951,-321.12499044718663,9.81,44000.0,0.04393743348676393,0.018,1864.0,0.028,0.03988258989207167,-34.85265477382583,29.2,48.14576903139084,0.025843567999999997,4.775824461585505e-05,343.6089172200075,1272.4305055326768,1.1836833733866803,292.11514085104454,-34.394739395139254,5.67e-08,344.29264957856134,0.0009,-232.40761783627352,0.00818728211732978,-330.595899388025,292.1151408510445,0.032,-309.43999480473553,330.5958993880249,0.5952380952380952,-310.4960830254339,2.1708639999999993e-05,232.40761783627352,-33.83143806508292,0.03,5.536842980104023e-05,2184.1067289200078,0.71,349.5970708958596,9.758333333333335e-05,0.042,292.59,1.0,361.0591413742433,330.59589938802486,0.02897,4.611,-33.11283419457295,56.35560257879362,8.314472,292.15563196102687
